"index","pe","weight","avg"
1661,7,7,1
1662,7,7,1
1663,7,7,1
1664,7,7,1
1665,7,7,1
1666,7,7,1
1667,7,7,1
1668,7,7,1
1669,7,7,1
167,10,10,1
1670,7,7,1
1671,11,11,1
1672,7,7,1
1673,7,7,1
1674,7,7,1
1675,7,7,1
1676,7,7,1
1677,7,7,1
1678,7,7,1
1679,9,9,1
168,5,5,1
1680,7,7,1
1681,7,7,1
1682,7,7,1
1683,7,7,1
1684,7,7,1
1685,7,7,1
1686,7,7,1
1687,7,7,1
1688,7,7,1
1689,7,7,1
169,5,5,1
1690,7,7,1
1691,7,7,1
1692,7,7,1
1693,7,7,1
1694,7,7,1
1695,7,7,1
1696,8,8,1
1697,7,7,1
1698,7,7,1
1699,7,7,1
17,5,5,1
170,5,5,1
1700,7,7,1
1701,7,7,1
1702,7,7,1
1703,7,7,1
1704,7,7,1
1705,7,7,1
1706,7,7,1
1707,10,10,1
1708,7,7,1
1709,7,7,1
171,5,5,1
1710,10,10,1
1711,7,7,1
1712,7,7,1
1713,7,7,1
1714,7,7,1
1715,7,7,1
1716,7,7,1
1717,7,7,1
1718,7,7,1
1719,7,7,1
172,5,5,1
1720,7,7,1
1721,7,7,1
1722,7,7,1
1723,9,9,1
1724,7,7,1
1725,7,7,1
1726,7,7,1
1727,9,9,1
1728,7,7,1
1729,7,7,1
173,5,5,1
1730,7,7,1
1731,10,10,1
1732,7,7,1
1733,7,7,1
1734,7,7,1
1735,7,7,1
1736,13,13,1
1737,7,7,1
1738,7,7,1
1739,7,7,1
174,5,5,1
1740,7,7,1
1741,7,7,1
1742,7,7,1
1743,7,7,1
1744,17,17,1
1745,7,7,1
1746,7,7,1
1747,7,7,1
1748,7,7,1
1749,7,7,1
175,5,5,1
1750,7,7,1
1751,12,12,1
1752,16,16,1
1753,7,7,1
1754,7,7,1
1755,7,7,1
1756,7,7,1
1757,7,7,1
1758,7,7,1
1759,7,7,1
176,5,5,1
1760,7,7,1
1761,15,15,1
1762,9,9,1
1763,7,7,1
1764,7,7,1
1765,7,7,1
1766,8,8,1
1767,8,8,1
1768,7,7,1
1769,7,7,1
177,9,9,1
1770,7,7,1
1771,7,7,1
1772,7,7,1
1773,7,7,1
1774,7,7,1
1775,7,7,1
