"index","a","b","c","d","e"
"16166","True","data","exclusion","Variable","1"
"16166","True","multi","exclusion","Variable","1"
"16166","True","now","exclusion","Variable","1"
"16166","True","mstate","additon","Function","1"
"16169","0","0","0","0","0"
"16418","True","multi","additon","Variable","2"
"16418","True","now","additon","Variable","2"
"16418","True","easy","additon","Variable","2"
"16418","True","data","additon","Variable","2"
"16422","True","multi","exclusion","Variable","1"
"16422","True","data","exclusion","Variable","1"
"16422","True","easy","exclusion","Variable","1"
"16422","True","now","exclusion","Variable","1"
"16597","True","multi","additon","Variable","1"
"16597","True","easy","additon","Variable","1"
"16597","True","now","additon","Variable","1"
"16597","True","data","additon","Variable","1"
"16610","0","0","0","0","0"
"16611","True","now","exclusion","Variable","2"
"16611","True","data","exclusion","Variable","2"
"16611","True","multi","exclusion","Variable","2"
"16611","True","easy","exclusion","Variable","2"
"16622","True","Curl_base64_encode","additon","Function","1"
"1663","!def(HAVE_STRTOK_R)","Curl_strtok_r","parameter","Function","2"
"1663","True","Curl_base64_decode","parameter","Function","2"
"1663","True","Curl_base64_encode","parameter","Function","2"
"16644","def(DEBUGBUILD)","statename","additon","Variable","3"
"16644","True","variables","exclusion","Variable","3"
"16644","True","size","additon","Variable","3"
"16644","True","mstate","exclusion","Function","3"
"16644","True","Curl_infof","additon","Function","3"
"16644","True","Curl_sendf","additon","Function","3"
"16644","True","Curl_failf","additon","Function","3"
"16644","def(DEBUGBUILD)","multistate","additon","Function","3"
"16644","True","multistate","exclusion","Function","3"
"16644","True","Curl_client_write","additon","Function","3"
"16644","def(DEBUGBUILD)","mstate","additon","Function","3"
"16644","True","Curl_write","additon","Function","3"
"16644","def(DEBUGBUILD)","isHandleAtHead","additon","Function","3"
"16908","True","Curl_rand","exclusion","Function","1"
"16935","True","Curl_base64_decode","additon","Function","1"
"16938","True","Curl_base64_decode","additon","Function","1"
"16974","True","multi","additon","Variable","1"
"16974","True","data","additon","Variable","1"
"16974","True","now","additon","Variable","1"
"16974","True","easy","additon","Variable","1"
"17004","True","multi","exclusion","Variable","1"
"17004","True","now","exclusion","Variable","1"
"17004","True","data","exclusion","Variable","1"
"17004","True","easy","exclusion","Variable","1"
"17086","True","data","additon","Variable","2"
"17086","True","easy","additon","Variable","2"
"17086","True","now","additon","Variable","2"
"17086","True","multi","additon","Variable","2"
"17100","(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP))","tftp_connect_for_rx","additon","Function","2"
"17100","True","curlx_tvnow","additon","Function","2"
"17100","True","Curl_speedcheck","additon","Function","2"
"17100","(!def(CURL_DISABLE_VERBOSE_STRINGS)&!def(CURL_DISABLE_TFTP))","tftp_connect_for_tx","exclusion","Function","2"
"17153","True","now","exclusion","Variable","2"
"17153","True","multi","exclusion","Variable","2"
"17153","True","easy","exclusion","Variable","2"
"17153","True","data","exclusion","Variable","2"
"17174","True","Curl_write_plain","additon","Function","4"
"17174","True","easy","additon","Variable","4"
"17174","!def(CURL_DISABLE_HTTP)","Curl_httpchunk_read","exclusion","Function","4"
"17174","def(USE_CYASSL)","sockindex","additon","Variable","4"
"17174","def(USE_CYASSL)","conn","additon","Variable","4"
"17174","True","multi","additon","Variable","4"
"17174","True","data","additon","Variable","4"
"17174","True","Curl_write","exclusion","Function","4"
"17174","True","now","additon","Variable","4"
"17175","True","Curl_client_write","exclusion","Function","3"
"17175","True","data","additon","Variable","3"
"17175","True","now","additon","Variable","3"
"17175","!def(CURL_DISABLE_HTTP)","Curl_httpchunk_read","additon","Function","3"
"17175","True","easy","additon","Variable","3"
"17175","True","multi","additon","Variable","3"
"17175","True","Curl_read","additon","Function","3"
"17175","True","Curl_read_plain","exclusion","Function","3"
"17176","True","data","additon","Variable","1"
"17176","True","Curl_read","exclusion","Function","1"
"17176","True","Curl_client_write","additon","Function","1"
"17176","True","Curl_read_plain","additon","Function","1"
"17176","True","easy","additon","Variable","1"
"17277","True","tvdiff","additon","Function","1"
"17279","True","tvnow","additon","Function","1"
"17279","True","curlx_tvnow","exclusion","Function","1"
"1739","True","Curl_cookie_add","parameter","Function","1"
"17644","True","Curl_cert_hostcheck","additon","Function","1"
"17650","True","hostname","exclusion","Variable","1"
"1770","True","nonblock","parameter","Function","1"
"17708","True","Curl_base64_decode","additon","Function","1"
"1771","True","nonblock","parameter","Function","1"
"17717","True","Curl_base64_encode","exclusion","Function","1"
"17717","True","Curl_base64_decode","exclusion","Function","1"
"1772","True","nonblock","parameter","Function","1"
"17728","!def(HAVE_STRTOK_R)","Curl_strtok_r","additon","Function","1"
"1773","True","FormAdd","additon","Function","1"
"1773","True","FormParse","exclusion","Function","1"
"1773","True","nonblock","parameter","Function","1"
"1774","True","nonblock","parameter","Function","1"
"1775","True","nonblock","parameter","Function","1"
"1776","True","nonblock","parameter","Function","1"
"1777","True","nonblock","parameter","Function","1"
"1778","True","nonblock","parameter","Function","1"
"1779","True","nonblock","parameter","Function","1"
"1780","True","nonblock","parameter","Function","1"
"1781","True","nonblock","parameter","Function","1"
"1782","True","nonblock","parameter","Function","1"
"1783","True","nonblock","parameter","Function","1"
"1784","True","nonblock","parameter","Function","1"
"1785","True","nonblock","parameter","Function","1"
"1786","True","nonblock","parameter","Function","1"
"1787","True","nonblock","parameter","Function","1"
"1788","True","nonblock","parameter","Function","1"
"1789","True","nonblock","parameter","Function","1"
"1790","True","nonblock","parameter","Function","1"
"1791","True","nonblock","parameter","Function","1"
"1792","True","nonblock","parameter","Function","1"
"1793","True","nonblock","parameter","Function","1"
"1794","True","nonblock","parameter","Function","1"
"1795","True","nonblock","parameter","Function","1"
"1796","True","nonblock","parameter","Function","1"
"1797","True","nonblock","parameter","Function","1"
"1798","True","nonblock","parameter","Function","1"
"1799","True","nonblock","parameter","Function","1"
"1800","True","nonblock","parameter","Function","1"
"1801","True","nonblock","parameter","Function","1"
"1802","True","nonblock","parameter","Function","1"
"1803","True","nonblock","parameter","Function","1"
"1804","True","nonblock","parameter","Function","1"
"1805","True","nonblock","parameter","Function","1"
"1806","True","nonblock","parameter","Function","1"
"1807","True","nonblock","parameter","Function","1"
"1808","True","nonblock","parameter","Function","1"
"1809","True","nonblock","parameter","Function","1"
"1810","True","nonblock","parameter","Function","1"
"18107","True","Curl_base64_encode","exclusion","Function","1"
"18107","True","base64_encode","additon","Function","1"
"1811","True","curl_mprintf","parameter","Function","1"
"1811","True","nonblock","parameter","Function","1"
"1811","True","curl_mvfprintf","parameter","Function","1"
"1811","True","curl_mfprintf","parameter","Function","1"
"1811","True","curl_maprintf","parameter","Function","1"
"1812","True","nonblock","parameter","Function","1"
"1813","True","nonblock","parameter","Function","1"
"1814","True","nonblock","parameter","Function","1"
"1815","True","nonblock","parameter","Function","1"
"1816","True","nonblock","parameter","Function","1"
"1817","True","nonblock","parameter","Function","1"
"1818","True","nonblock","parameter","Function","1"
"18184","!def(HAVE_STRTOK_R)","Curl_strtok_r","exclusion","Function","1"
"1819","True","nonblock","parameter","Function","1"
"1820","True","nonblock","parameter","Function","1"
"1821","True","nonblock","parameter","Function","1"
"1822","True","nonblock","parameter","Function","1"
"1823","True","nonblock","parameter","Function","1"
"1824","True","nonblock","parameter","Function","1"
"1825","True","nonblock","parameter","Function","1"
"1826","True","nonblock","parameter","Function","1"
"1827","True","nonblock","parameter","Function","1"
"1828","True","nonblock","parameter","Function","1"
"1829","True","nonblock","parameter","Function","1"
"1830","True","nonblock","parameter","Function","1"
"1831","True","nonblock","parameter","Function","1"
"18311","def(__VMS)","VmsSpecialSize","additon","Function","1"
"18311","def(__VMS)","vmsfopenread","additon","Function","1"
"1832","True","nonblock","parameter","Function","1"
"1833","True","nonblock","parameter","Function","1"
"18337","True","multi","exclusion","Variable","1"
"18337","True","data","exclusion","Variable","1"
"18337","True","Curl_write_plain","exclusion","Function","1"
"18337","True","easy","exclusion","Variable","1"
"18337","True","Curl_write","additon","Function","1"
"18337","True","now","exclusion","Variable","1"
"1834","True","nonblock","parameter","Function","1"
"1835","True","nonblock","parameter","Function","1"
"1836","True","nonblock","parameter","Function","1"
"18368","True","curl_free","additon","Function","1"
"18368","True","curl_getenv","additon","Function","1"
"1837","True","nonblock","parameter","Function","1"
"1838","True","nonblock","parameter","Function","1"
"1839","True","nonblock","parameter","Function","1"
"1840","True","nonblock","parameter","Function","1"
"1841","True","nonblock","parameter","Function","1"
"1842","True","nonblock","parameter","Function","1"
"18422","True","Curl_write","exclusion","Function","1"
"18422","True","multi","additon","Variable","1"
"18422","True","Curl_read_plain","additon","Function","1"
"18422","True","now","additon","Variable","1"
"18422","True","easy","additon","Variable","1"
"18422","True","data","additon","Variable","1"
"18422","True","Curl_write_plain","additon","Function","1"
"1843","True","nonblock","parameter","Function","1"
"1844","True","nonblock","parameter","Function","1"
"1845","True","nonblock","parameter","Function","1"
"1846","True","nonblock","parameter","Function","1"
"1847","True","nonblock","parameter","Function","1"
"1848","True","nonblock","parameter","Function","1"
"1849","True","nonblock","parameter","Function","1"
"1850","True","nonblock","parameter","Function","1"
"1851","True","nonblock","parameter","Function","1"
"1852","True","nonblock","parameter","Function","1"
