"maintenance_points","impact_points"
9,8
5,5
5,5
5,5
5,5
6,6
6,5
6,5
5,5
5,5
5,5
5,5
5,5
61,39
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
10,10
10,7
79,40
79,4
63,31
63,6
37,23
6,6
50,27
4,4
4,4
4,4
4,4
4,4
4,4
5,5
6,6
5,5
4,4
5,5
42,21
8,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
9,8
7,6
7,6
7,6
7,6
7,6
7,6
38,20
16,12
16,7
8,7
8,7
8,7
8,7
8,7
12,11
16,10
16,7
16,7
16,7
15,9
16,10
8,7
9,8
9,7
9,7
9,9
9,7
9,7
9,7
9,7
7,7
11,11
11,7
7,7
8,8
8,7
51,28
58,29
5,5
5,5
45,28
45,5
5,5
5,5
5,5
5,5
10,9
7,6
5,5
5,5
5,5
5,5
5,5
8,8
8,5
8,5
8,5
8,5
7,6
6,5
6,5
6,5
5,5
5,5
47,28
9,8
9,6
6,6
6,6
39,22
9,9
6,6
6,6
6,6
6,6
35,23
5,5
43,20
43,3
3,3
3,3
6,6
3,3
30,20
5,5
40,22
37,22
37,3
30,23
30,3
3,3
3,3
32,16
27,15
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
43,25
42,25
7,6
4,4
4,3
3,3
3,3
3,3
38,20
37,22
5,5
33,21
33,2
33,2
33,2
33,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
35,19
35,3
35,3
3,3
3,3
3,3
3,3
21,14
4,4
3,3
3,3
3,3
4,4
4,3
24,14
45,28
45,2
45,2
45,2
45,2
45,2
45,2
45,2
45,2
34,18
4,4
3,3
3,3
3,3
4,4
5,4
4,3
9,6
9,3
5,3
3,3
4,4
5,4
5,4
5,4
4,3
4,3
4,3
4,3
4,3
5,4
5,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
42,21
51,25
55,7
55,7
55,7
7,7
38,24
38,7
38,7
36,25
6,6
6,6
6,6
6,6
55,36
10,10
30,24
30,6
30,6
30,6
8,7
20,17
20,7
9,8
9,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
8,7
15,12
28,18
8,7
9,8
7,7
10,10
9,9
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,8
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
9,8
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
12,10
6,6
6,6
