"index","Possible","variabilities","sumFunc","FAdd","FExc","FPar","FTyp","FMod","FEsp","FQua","sumVar","VAdd","VExc","VTyp","VMod","VEsp","VQua"
11820,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11821,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11830,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11840,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11845,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11847,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11888,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
